codigo_pais,pais,cantidad_sedes,promedio_secciones,pbi_2023
BRA,Brazil,11,1.6363636363636365,10377.5892792557
USA,United States,9,3.2222222222222223,82304.6204272866
URY,Uruguay,8,0.625,23019.4221560046
BOL,Bolivia,7,2.142857142857143,3686.27996442176
CHL,Chile,7,1.5714285714285714,17067.0364799154
ESP,Spain,7,2.5714285714285716,33509.0127982139
CHN,China,6,2.5,12951.1782397043
CAN,Canada,4,1.25,54220.3285039875
DEU,Germany,4,3.25,53940.4073447462
ITA,Italy,4,2.5,39065.4244365633
PRY,Paraguay,4,0.0,6299.99026533643
MEX,Mexico,3,3.6666666666666665,13826.1306570122
AUS,Australia,2,4.5,64835.9199754535
BEL,Belgium,2,5.5,54690.0942734964
ECU,Ecuador,2,5.5,6737.84748379638
FRA,France,2,4.0,44690.9345395117
IND,India,2,7.0,2530.12031278204
ISR,Israel,2,4.0,52003.7200729997
PER,Peru,2,3.5,7887.54185920108
ZAF,South Africa,2,2.5,6022.54254192335
CHE,Switzerland,2,2.5,100631.802755125
TUR,Turkiye,2,2.0,13105.6585004778
DZA,Algeria,1,6.0,5364.02795022731
AGO,Angola,1,6.0,2309.53413042773
ARG,Argentina,1,0.0,14187.4827252965
ARM,Armenia,1,2.0,8125.27395754003
AUT,Austria,1,10.0,56033.573792065
AZE,Azerbaijan,1,5.0,7133.02838048328
BGD,Bangladesh,1,0.0,2551.01773827307
BRB,Barbados,1,7.0,23804.0249914995
BGR,Bulgaria,1,0.0,15883.8618545581
COL,Colombia,1,9.0,7000.83660501046
CRI,Costa Rica,1,2.0,16942.0268119304
CUB,Cuba,1,5.0,9605.26125067263
CZE,Czechia,1,5.0,31591.0568216357
DNK,Denmark,1,4.0,68453.8769281145
DOM,Dominican Republic,1,3.0,10630.431743829
EGY,"Egypt, Arab Rep.",1,6.0,3456.78968456253
SLV,El Salvador,1,5.0,5365.44491399171
ETH,Ethiopia,1,4.0,1011.07332413462
FIN,Finland,1,2.0,52821.5114340717
GRC,Greece,1,3.0,23400.7278817691
GTM,Guatemala,1,5.0,5758.30876298845
GUY,Guyana,1,0.0,20473.7002190617
HTI,Haiti,1,7.0,1705.75808460999
HND,Honduras,1,6.0,3227.45762509776
HUN,Hungary,1,6.0,22312.1790289763
IDN,Indonesia,1,5.0,4876.30774512252
IRN,"Iran, Islamic Rep.",1,4.0,4465.63766853306
IRL,Ireland,1,4.0,103887.800388081
JAM,Jamaica,1,3.0,6839.72502408181
JPN,Japan,1,7.0,33836.1756271617
KEN,Kenya,1,6.0,1952.30457929636
KOR,"Korea, Rep.",1,7.0,33121.3712885508
KWT,Kuwait,1,5.0,34075.8490439847
LBN,Lebanon,1,5.0,3477.72489842684
LBY,Libya,1,0.0,6172.81246940233
MYS,Malaysia,1,3.0,11379.0851923557
MAR,Morocco,1,5.0,3771.4462890625
MOZ,Mozambique,1,7.0,622.985619320596
NLD,Netherlands,1,8.0,64572.0059558854
NZL,New Zealand,1,3.0,48654.904227478
NIC,Nicaragua,1,1.0,2609.44492072931
NGA,Nigeria,1,4.0,1596.63696129001
NOR,Norway,1,3.0,87497.3289297342
PAK,Pakistan,1,1.0,1365.16927410976
PAN,Panama,1,5.0,18686.4050961265
PHL,Philippines,1,5.0,3804.08274131097
POL,Poland,1,3.0,22145.2643088909
PRT,Portugal,1,5.0,27386.2920595024
QAT,Qatar,1,3.0,80195.8746508549
ROU,Romania,1,1.0,18404.2730871704
RUS,Russian Federation,1,8.0,14159.3876953125
SAU,Saudi Arabia,1,0.0,36156.848337701
SEN,Senegal,1,0.0,1698.03387300843
SRB,Serbia,1,4.0,12281.5058488303
SGP,Singapore,1,5.0,85412.230345235
LCA,St. Lucia,1,0.0,13554.7684784933
SUR,Suriname,1,6.0,5494.07409425517
SWE,Sweden,1,5.0,55567.0890080496
SYR,Syrian Arab Republic,1,1.0,847.372723418531
THA,Thailand,1,5.0,7195.10130919449
TTO,Trinidad and Tobago,1,3.0,18639.259241294
TUN,Tunisia,1,7.0,3950.3753419816
UKR,Ukraine,1,4.0,5139.59814453125
ARE,United Arab Emirates,1,4.0,49040.6947521035
VEN,"Venezuela, RB",1,5.0,15943.6127197163
VNM,Viet Nam,1,4.0,4323.35031982451
PSE,West Bank and Gaza,1,0.0,3455.02852911712
