pais,cantidad_tipos_redes
Algeria,3
Angola,2
Argentina,0
Armenia,3
Australia,3
Austria,3
Azerbaijan,3
Bangladesh,2
Barbados,1
Belgium,5
Bolivia,3
Brazil,3
Bulgaria,2
Canada,5
Chile,3
China,2
Colombia,3
Costa Rica,2
Cuba,2
Czechia,2
Denmark,3
Dominican Republic,2
Ecuador,3
"Egypt, Arab Rep.",3
El Salvador,3
Ethiopia,3
Finland,2
France,2
Germany,2
Greece,4
Guatemala,3
Guyana,0
Haiti,0
Honduras,3
Hungary,3
India,3
Indonesia,1
"Iran, Islamic Rep.",0
Ireland,2
Israel,2
Italy,4
Jamaica,3
Japan,3
Kenya,3
"Korea, Rep.",2
Kuwait,1
Lebanon,2
Libya,0
Malaysia,1
Mexico,4
Morocco,2
Mozambique,2
Netherlands,3
New Zealand,3
Nicaragua,2
Nigeria,2
Norway,4
Pakistan,1
Panama,2
Paraguay,3
Peru,3
Philippines,3
Poland,1
Portugal,1
Qatar,2
Romania,1
Russian Federation,2
Saudi Arabia,3
Senegal,1
Serbia,2
Singapore,2
South Africa,3
Spain,5
St. Lucia,0
Suriname,0
Sweden,3
Switzerland,4
Syrian Arab Republic,1
Thailand,1
Trinidad and Tobago,2
Tunisia,4
Turkiye,3
Ukraine,2
United Arab Emirates,1
United States,5
Uruguay,3
"Venezuela, RB",3
Viet Nam,2
West Bank and Gaza,1
