sede_id,sede_desc_castellano,sede_desc_ingles,tipo_seccion
ECHES,Administración,Administrative  Section,Seccion
ERUNI,Administración,Administration,Seccion
EHAIT,Administración,Todo  el  territorio  de  Haiti,Seccion
EKENY,Administración,Administrative  Section,Seccion
ERUNI,Administración,Administracion,Seccion
CNYOR,Administración,Administration  Department,Seccion
EPBAJ,Administración,Administration,Seccion
EECUA,Administración  y  Logística,Administration  and  Logistics,Seccion
ESSED,"Administración, Economato, Contabilidad  e  Inventario",Administration  Area,Seccion
EJAPO,Administrativa,Administration,Seccion
ESALV,Administrativa  -  Contable,Administrativa  -  Contable,Seccion
EGUAT,Agregada  Administrativa,Administración,Seccion
ETAIL,Agregada  Administrativa,Administration  Attaché,Seccion
ETURQ,Agregada  para  Asuntos  Administrativos,Administrative  Affairs,Seccion
EBRAS,Agregado  Aaeronáutico,Agregaduría  de  la  Fuerza  Aerea,Agregaduria  Militar
EPORT,Agregado  Administrativo,Chief  of  Administrative  Section,Seccion
CGUAY,AGREGADO  CONSULAR,AGREGADO  ADMINISTRATIVO,Seccion
EBRAS,Agregado  Militar,Agregado  de  Defensa  y  Naval,Agregaduria  Militar
EBRAS,Agregado  Naval    y  de  Defensa,Agregado  Militar,Agregaduria  Militar
EBOLV,Agregaduría  Aeronáutica,Agregaduría  Aeronáutica-,Seccion
EEEUU,Agregaduria  Aeronautica,Air  Force  Attache,Seccion
ECHIN,Agregaduría  Agrícola,Jefe  de  Agregadurìa  Agrìcola,Seccion
EINDI,Agregaduría  Agrícola,Agricultural  Section,Seccion
ESURI,Agregaduria  de  Defensa,,Seccion
EPBAJ,Agregaduría  de  Defensa  ,Defense  Attache,Agregaduria  Militar
EPERU,Agregaduria  de  Defensa  y  Aeronáutica,Agregaduria  Aeronautica  y  de  Defensa,Agregaduria  Militar
EHILE,Agregaduría  de  Defensa  y  Aeronáutica,  Aeronautic  and  defense  Attaché  Office,Agregaduria  Militar
EEEUU,Agregaduria  de  Defensa  y  Militar,Militar  Attache,Seccion
EBOLV,"Agregaduría  de  Defensa, Militar  y    Fuerza  Aérea",A  cargo  de  la  Agregaduría  de  Defensa.,Agregaduria  Militar
EALEM,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Defence  Attaché,Agregaduria  Militar
EFRUS,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Defense  Attaché,Agregaduria  Militar
ECHIN,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregadurìa  Militar,Agregaduria  Militar
EISRA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Military, Naval  and  Air  Attaché  Office",Seccion
EKUWA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",ekuwa,Seccion
EMEXI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Army, Navy  and  Air  Force  Attaché",Agregaduria  Militar
ESAFR,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Military, Naval  and  Aeronautical  Office",Agregaduria  Militar
ECOLO,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregaduria  Militar
EITAL,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Defense  Attaché  Office,Agregaduria  Militar
EINDI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregaduria  Militar
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","Agregaduría    de  Defensa, Militar, Naval  y  Fuerza  Aérea",Seccion
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",Defence  Attach,Agregaduria  Militar
EBOLV,Agregaduría  de  Gendarmería  Nacional  Argentina  (GNA),Oficial  de  Enlace  de  la  Gendarmería  Nacional  Argentina  ante  la  Policía  Boliviana.,Seccion
EBOLV,Agregaduría  de  Prefectura  Naval,Agregaduría  de  Prefectura  Naval,Seccion
EECUA,Agregaduria  Militar,Agregaduria  Militar,Seccion
EEGIP,Agregaduría  Militar,Agregaduría  Militar,Agregaduria  Militar
EHILE,Agregaduria  Militar,military    Attaché  Office,Agregaduria  Militar
EEEUU,Agregaduria  Naval,Naval  Attache,Seccion
EHILE,Agregaduría  Naval,Navy    Attaché  Office,Agregaduria  Militar
CNYOR,Asistencia  a  Argentinos  en  el  Exterior,Argentine  Community  Affairs  and  Assintance  to  Argentines  Citizens,Seccion
ETUNE,Asuntos  Culturales  ,Cultural  Affairs  and  Press,Seccion
EKENY,Asuntos  Multilaterales  (PNUMA-ONU  Hábitat),Multilateral  (UNEP  /  UN  HABITAT),Seccion
ETRIA,"Asuntos  Nucleares  (OIEA, CTBTO, Zangger  C., NSG)","Nuclear  Affairs  (IAEA, CTBTO, Zangger  C., NSG)",Seccion
ECANA,Asuntos  oceánicos  y  polares  -  Educación  y  Deportes  -  Diplomacia  Pública,Ocean  and  Polar  Affairs  -  Education  and  Sports  -  Public  Diplomacy,Seccion
ETRIA,Asuntos  relativos  a  la  Comisión  de  las  Naciones  Unidas  para  el  Derecho  Mercantil  Internacional,Matters  related  to  the  United  Nations  Commission  On  International  Trade  Law,Seccion
ETRIA,Asuntos  relativos  a  la  Oficina  de  Asuntos  del  Espacio  Ultraterrestre  (OOSA),UNOOSA  Affairs,Seccion
ETRIA,Asuntos  relativos  a  la  Oficina  de  las  Naciones  Unidas  contra  la  Droga  y  el  Delito  (ONUDD),UNODC  Affairs,Seccion
ETRIA,Asuntos  relativos  a  la  Organización  de  las  Naciones  Unidas  para  el  Desarrollo  Industrial  (ONUDI),UNIDO  Affairs,Seccion
ECEUR,Cancillería,Chancellery,Seccion
ECEUR,Consejería  Agrícola,Agricultural  Office,Seccion
EEEUU,Consejería  Agrícola,Jefe  de  Consejería  Agricola,Seccion
EBRAS,Consejería  Agrícola,,Seccion
CPCAR,Cónsul  Adjunto,Consulado,Seccion
EKENY,Consular  ,Consular  ,Sección  Consular
CGUAY,CONSULAR,CONSULAR,Seccion
EBOLV,Contabilidad  y  Administración.,Contabilidad  y  Administración.,Seccion
EHAIT,Cooperación  Internacional,Todo  el  territorio  de  Haiti,Seccion
ETUNE,Cooperación  Internacional,International  Co-operation,Seccion
ECOLO,"Cooperación  Internacional, Ciencia  y  Tecnología","Cooperación, Ciencia  y  Tecnología",Seccion
EJAPO,"Cooperación, Ciencia, Tecnología  e  Inversiones",Cooperation,Seccion
EBOLV,"Coordinación  Gral., Sección  Política, Medio  Ambiente  y  Asuntos  Jurídicos",Area  de  límites  y  fronteras.  Defensa  y  cooperación  militar,Seccion
EKENY,Cultural,Cultural,Seccion
ESALV,Cultural,Seccion  Cultural,Seccion
CGMUM,Deportes,Sports,Seccion
EPBAJ,Diplomacia  Pública,Public  Diplomacy,Seccion
CNYOR,Documentación:  certificados  y  legalizaciones,Certificates  and  legalizations,Seccion
CNYOR,Documentación:  gestión  documental  y  RENAPER,Consular  Department,Seccion
EKENY,Económica  -  Comercial,Economic  -  Commercial,Seccion
EUNGR,Económico  Comercial,Sección  Económico  Comercial,Seccion
CGMUM,Educación  y  Cultura,Education  and  Culture  Section,Seccion
EBOLV,Embajador  Extraordinario  y  Plenipotenciario  de  la  República  Argentina  ,Jefe  de  Misión,Seccion
EMEXI,Encargada  de  Negocios,Chief  of  Mission,Seccion
EFILI,Fabricio  Sordoni,Fabricio  Sordoni,Sección  Consular
EFILI,Gabriel  Hernán  Rivera,Gabriel  Hernán  Rivera,Seccion
ESSED,Jefa  de  Cancillería,Head  of  Chancery,Seccion
ESUIZ,Jefe  de  Cancillería,Deputy  Chief  of  Mission,Seccion
