sede_id,pais_iso_3,pais_castellano
CALEG,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
CANTO,CHL,REPÚBLICA  DE  CHILE
CAREN,CHL,REPÚBLICA  DE  CHILE
CASUN,PRY,REPÚBLICA  DEL  PARAGUAY
CATLA,USA,ESTADOS UNIDOS DE AMÉRICA
CBARC,ESP,REINO  DE  ESPAÑA
CBEIJ,CHN,REPÚBLICA  POPULAR  DE  CHINA
CBELO,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
CBONN,DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA
CCADI,ESP,REINO  DE  ESPAÑA
CCEST,PRY,REPÚBLICA  DEL  PARAGUAY
CCHIC,USA,ESTADOS UNIDOS DE AMÉRICA
CCOCH,BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
CCOLO,URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
CCONC,CHL,REPÚBLICA  DE  CHILE
CCURI,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
CENCA,PRY,REPÚBLICA  DEL  PARAGUAY
CFBEN,URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
CFDIG,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
CFLOR,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
CFRAN,DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA
CGEST,TUR,REPÚBLICA DE TÜRKİYE
CGMUM,IND,REPÚBLICA  DE  LA  INDIA
CGPAZ,BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
CGTEL,ISR,ESTADO  DE  ISRAEL
CGUAN,CHN,REPÚBLICA  POPULAR  DE  CHINA
CGUAY,ECU,REPÚBLICA  DEL  ECUADOR
CGVAN,CAN,CANADÁ
CHAMB,DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA
CHONG,CHN,REPÚBLICA  POPULAR  DE  CHINA
CHOUS,USA,ESTADOS UNIDOS DE AMÉRICA
CJOHA,ZAF,REPÚBLICA  DE  SUDÁFRICA
CLANG,USA,ESTADOS UNIDOS DE AMÉRICA
CLIMA,PER,REPÚBLICA  DEL  PERÚ
CLOND,GRB,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE
CMADR,ESP,REINO  DE  ESPAÑA
CMALD,URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
CMALL,ESP,REINO  DE  ESPAÑA
CMDEO,URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
CMEXI,MEX,ESTADOS  UNIDOS  MEXICANOS
CMIAM,USA,ESTADOS UNIDOS DE AMÉRICA
CMILA,ITA,REPÚBLICA  ITALIANA
CMREA,CAN,CANADÁ
CNYOR,USA,ESTADOS UNIDOS DE AMÉRICA
CPABL,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
CPAYS,URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
CPCAR,MEX,ESTADOS  UNIDOS  MEXICANOS
CPMON,CHL,REPÚBLICA  DE  CHILE
CRECI,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
CRIOJ,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
CROMA,ITA,REPÚBLICA  ITALIANA
CSBAH,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
CSCRS,BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
CSHAN,CHN,REPÚBLICA  POPULAR  DE  CHINA
CSIDN,AUS,AUSTRALIA
CSIGO,CHL,REPÚBLICA  DE  CHILE
CSLTO,URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
CTARI,BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
CTENE,ESP,REINO  DE  ESPAÑA
CTORO,CAN,CANADÁ
CURUG,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
CVALP,CHL,REPÚBLICA  DE  CHILE
CVIGO,ESP,REINO  DE  ESPAÑA
CVILL,BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
CYACU,BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
DIGAC,ARG,REPÚBLICA  ARGENTINA
EALEM,DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA
EANGO,AGO,REPÚBLICA  DE  ANGOLA
EARAB,SAU,REINO  DE  ARABIA  SAUDITA
EARGE,DZA,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR
EARME,ARM,REPÚBLICA  DE  ARMENIA
EASIR,SYR,REPÚBLICA  ÁRABE  SIRIA
EAUST,AUS,AUSTRALIA
EAZER,AZE,REPÚBLICA  DE  AZERBAIYÁN
EBANG,BGD,REPÚBLICA  POPULAR  DE  BANGLADESH
EBARB,BRB,BARBADOS
EBELG,BEL,REINO DE BÉLGICA
EBOLV,BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
EBRAS,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
EBULG,BGR,REPÚBLICA  DE  BULGARIA
ECANA,CAN,CANADÁ
ECEUR,BEL,REINO DE BÉLGICA
ECHES,CZE,REPÚBLICA  CHECA
ECHIN,CHN,REPÚBLICA  POPULAR  DE  CHINA
ECOLO,COL,REPÚBLICA  DE  COLOMBIA
ECORE,KOR,REPÚBLICA  DE  COREA
ECUBA,CUB,REPÚBLICA  DE  CUBA
EDINA,DNK,REINO  DE  DINAMARCA
EDOMI,DOM,REPÚBLICA  DOMINICANA
EEARB,ARE,EMIRATOS  ÁRABES  UNIDOS
EECUA,ECU,REPÚBLICA  DEL  ECUADOR
EEEUU,USA,ESTADOS UNIDOS DE AMÉRICA
EEGIP,EGY,REPÚBLICA  ÁRABE  DE  EGIPTO
EEOEA,USA,ESTADOS UNIDOS DE AMÉRICA
EESPA,ESP,REINO  DE  ESPAÑA
EETIO,ETH,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA
EFILI,PHL,REPÚBLICA  DE  FILIPINAS
EFINL,FIN,REPÚBLICA  DE  FINLANDIA
EFRAN,FRA,REPÚBLICA  FRANCESA
EFRUS,RUS,FEDERACIÓN  DE  RUSIA
EGREC,GRC,REPÚBLICA  HELÉNICA
EGUAT,GTM,REPÚBLICA  DE  GUATEMALA
EGUYA,GUY,REPÚBLICA  COOPERATIVA  DE  GUYANA
EHAIT,HTI,REPÚBLICA  DE  HAITÍ
EHILE,CHL,REPÚBLICA  DE  CHILE
EHOND,HND,REPÚBLICA  DE  HONDURAS
EINDI,IND,REPÚBLICA  DE  LA  INDIA
EIRAN,IRN,REPÚBLICA  ISLÁMICA  DE  IRÁN
EIRLA,IRL,IRLANDA
EISIA,IDN,REPÚBLICA  DE  INDONESIA
EISRA,ISR,ESTADO  DE  ISRAEL
EITAL,ITA,REPÚBLICA  ITALIANA
EJAMA,JAM,JAMAICA
EJAPO,JPN,JAPÓN
EKENY,KEN,REPÚBLICA  DE  KENYA
EKUWA,KWT,ESTADO  DE  KUWAIT
ELBIA,LBY,ESTADO  DE  LIBIA
ELBNO,LBN,REPÚBLICA  LIBANESA
ELUCI,LCA,SANTA  LUCÍA
EMARR,MAR,REINO  DE  MARRUECOS
EMEXI,MEX,ESTADOS  UNIDOS  MEXICANOS
EMFAO,ITA,REPÚBLICA  ITALIANA
EMOZA,MOZ,REPÚBLICA  DE  MOZAMBIQUE
EMSIA,MYS,MALASIA
EMSUR,URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
ENAUN,USA,ESTADOS UNIDOS DE AMÉRICA
ENICA,NIC,REPÚBLICA  DE  NICARAGUA
ENIGE,NGA,REPÚBLICA  FEDERAL  DE  NIGERIA
ENORU,NOR,REINO  DE  NORUEGA
ENZEL,NZL,NUEVA  ZELANDIA
EOIRS,CHE,CONFEDERACIÓN SUIZA
EPAKI,PAK,REPÚBLICA  ISLÁMICA  DE  PAKISTÁN
EPARA,PRY,REPÚBLICA  DEL  PARAGUAY
EPBAJ,NLD,REINO  DE  LOS  PAÍSES  BAJOS
EPERU,PER,REPÚBLICA  DEL  PERÚ
EPNMA,PAN,REPÚBLICA  DE  PANAMÁ
EPOLO,POL,REPÚBLICA  DE  POLONIA
EPORT,PRT,REPÚBLICA  PORTUGUESA
