codigo_pais,nombre,pbi_2023,region
AGO,Angola,2309.53413042773,ÁFRICA  SUBSAHARIANA
ARE,United Arab Emirates,49040.6947521035,ASIA
ARG,Argentina,14187.4827252965,AMÉRICA  DEL  SUR
ARM,Armenia,8125.27395754003,ASIA
AUS,Australia,64835.9199754535,OCEANÍA
AUT,Austria,56033.573792065,EUROPA  OCCIDENTAL
AZE,Azerbaijan,7133.02838048328,ASIA
BEL,Belgium,54690.0942734964,EUROPA  OCCIDENTAL
BGD,Bangladesh,2551.01773827307,ASIA
BGR,Bulgaria,15883.8618545581,EUROPA  CENTRAL  Y  ORIENTAL
BOL,Bolivia,3686.27996442176,AMÉRICA  DEL  SUR
BRA,Brazil,10377.5892792557,AMÉRICA  DEL  SUR
BRB,Barbados,23804.0249914995,AMÉRICA  CENTRAL  Y  CARIBE
CAN,Canada,54220.3285039875,AMÉRICA  DEL  NORTE
CHE,Switzerland,100631.802755125,EUROPA  OCCIDENTAL
CHL,Chile,17067.0364799154,AMÉRICA  DEL  SUR
CHN,China,12951.1782397043,ASIA
COL,Colombia,7000.83660501046,AMÉRICA  DEL  SUR
CRI,Costa Rica,16942.0268119304,AMÉRICA  CENTRAL  Y  CARIBE
CUB,Cuba,9605.26125067263,AMÉRICA  CENTRAL  Y  CARIBE
CZE,Czechia,31591.0568216357,EUROPA  CENTRAL  Y  ORIENTAL
DEU,Germany,53940.4073447462,EUROPA  OCCIDENTAL
DNK,Denmark,68453.8769281145,EUROPA  OCCIDENTAL
DOM,Dominican Republic,10630.431743829,AMÉRICA  CENTRAL  Y  CARIBE
DZA,Algeria,5364.02795022731,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
ECU,Ecuador,6737.84748379638,AMÉRICA  DEL  SUR
EGY,"Egypt, Arab Rep.",3456.78968456253,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
ESP,Spain,33509.0127982139,EUROPA  OCCIDENTAL
ETH,Ethiopia,1011.07332413462,ÁFRICA  SUBSAHARIANA
FIN,Finland,52821.5114340717,EUROPA  OCCIDENTAL
FRA,France,44690.9345395117,EUROPA  OCCIDENTAL
GRC,Greece,23400.7278817691,EUROPA  OCCIDENTAL
GTM,Guatemala,5758.30876298845,AMÉRICA  CENTRAL  Y  CARIBE
GUY,Guyana,20473.7002190617,AMÉRICA  CENTRAL  Y  CARIBE
HND,Honduras,3227.45762509776,AMÉRICA  CENTRAL  Y  CARIBE
HTI,Haiti,1705.75808460999,AMÉRICA  CENTRAL  Y  CARIBE
HUN,Hungary,22312.1790289763,EUROPA  CENTRAL  Y  ORIENTAL
IDN,Indonesia,4876.30774512252,ASIA
IND,India,2530.12031278204,ASIA
IRL,Ireland,103887.800388081,EUROPA  OCCIDENTAL
IRN,"Iran, Islamic Rep.",4465.63766853306,ASIA
ISR,Israel,52003.7200729997,ASIA
ITA,Italy,39065.4244365633,EUROPA  OCCIDENTAL
JAM,Jamaica,6839.72502408181,AMÉRICA  CENTRAL  Y  CARIBE
JPN,Japan,33836.1756271617,ASIA
KEN,Kenya,1952.30457929636,ÁFRICA  SUBSAHARIANA
KOR,"Korea, Rep.",33121.3712885508,ASIA
KWT,Kuwait,34075.8490439847,ASIA
LBN,Lebanon,3477.72489842684,ASIA
LBY,Libya,6172.81246940233,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
LCA,St. Lucia,13554.7684784933,AMÉRICA  CENTRAL  Y  CARIBE
MAR,Morocco,3771.4462890625,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
MEX,Mexico,13826.1306570122,AMÉRICA  DEL  NORTE
MOZ,Mozambique,622.985619320596,ÁFRICA  SUBSAHARIANA
MYS,Malaysia,11379.0851923557,ASIA
NGA,Nigeria,1596.63696129001,ÁFRICA  SUBSAHARIANA
NIC,Nicaragua,2609.44492072931,AMÉRICA  CENTRAL  Y  CARIBE
NLD,Netherlands,64572.0059558854,EUROPA  OCCIDENTAL
NOR,Norway,87497.3289297342,EUROPA  OCCIDENTAL
NZL,New Zealand,48654.904227478,OCEANÍA
PAK,Pakistan,1365.16927410976,ASIA
PAN,Panama,18686.4050961265,AMÉRICA  CENTRAL  Y  CARIBE
PER,Peru,7887.54185920108,AMÉRICA  DEL  SUR
PHL,Philippines,3804.08274131097,ASIA
POL,Poland,22145.2643088909,EUROPA  CENTRAL  Y  ORIENTAL
PRT,Portugal,27386.2920595024,EUROPA  OCCIDENTAL
PRY,Paraguay,6299.99026533643,AMÉRICA  DEL  SUR
PSE,West Bank and Gaza,3455.02852911712,ASIA
QAT,Qatar,80195.8746508549,ASIA
ROU,Romania,18404.2730871704,EUROPA  CENTRAL  Y  ORIENTAL
RUS,Russian Federation,14159.3876953125,EUROPA  CENTRAL  Y  ORIENTAL
SAU,Saudi Arabia,36156.848337701,ASIA
SEN,Senegal,1698.03387300843,ÁFRICA  SUBSAHARIANA
SGP,Singapore,85412.230345235,ASIA
SLV,El Salvador,5365.44491399171,AMÉRICA  CENTRAL  Y  CARIBE
SRB,Serbia,12281.5058488303,EUROPA  CENTRAL  Y  ORIENTAL
SUR,Suriname,5494.07409425517,AMÉRICA  DEL  SUR
SWE,Sweden,55567.0890080496,EUROPA  OCCIDENTAL
SYR,Syrian Arab Republic,847.372723418531,ASIA
THA,Thailand,7195.10130919449,ASIA
TTO,Trinidad and Tobago,18639.259241294,AMÉRICA  CENTRAL  Y  CARIBE
TUN,Tunisia,3950.3753419816,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
TUR,Turkiye,13105.6585004778,EUROPA  OCCIDENTAL
UKR,Ukraine,5139.59814453125,EUROPA  CENTRAL  Y  ORIENTAL
URY,Uruguay,23019.4221560046,AMÉRICA  DEL  SUR
USA,United States,82304.6204272866,AMÉRICA  DEL  NORTE
VEN,"Venezuela, RB",15943.6127197163,AMÉRICA  DEL  SUR
VNM,Viet Nam,4323.35031982451,ASIA
ZAF,South Africa,6022.54254192335,ÁFRICA  SUBSAHARIANA
